name,type,temp_c,humidity_pct,seasons,spoilage_status,CO2_ppm,Ethylene_ppm,NH3_ppm,H2S_ppm,VOC_ppm,O2_%,Transit_Duration_hrs,source,min_optimal_temp,max_optimal_temp,min_optimal_humidity,max_optimal_humidity,shelf_life
Mango,Tropical Fruit,15.4,94.9,Summer,Warning,3616.4,7.366,0.0,0.0,0.0,18.9,77.6,Fruits_Vegetables,10.0,15.0,85.0,95.0,7.0
Tomato,Vegetable,13.5,89.7,Summer,Warning,1791.7,25.791,8.641,3.4530000000000003,275.6,6.9,10.0,Fruits_Vegetables,10.0,15.0,85.0,95.0,10.0
Strawberry,Berry,3.2,101.7,Monsoon,Fresh,4817.3,1.777,0.0,0.0,0.0,5.4,29.0,Fruits_Vegetables,2.0,6.0,80.0,90.0,7.0
Strawberry,Berry,6.6,85.8,Spring,Spoiled,3105.9,7.196,0.0,0.0,0.0,6.5,48.7,Fruits_Vegetables,2.0,6.0,80.0,90.0,7.0
Apple,Pome Fruit,4.7,92.6,Summer,Warning,4464.9,7.02,0.0,0.0,0.0,7.1,65.0,Fruits_Vegetables,2.0,6.0,80.0,90.0,7.0
Cucumber,Vegetable,12.7,96.4,Monsoon,Warning,969.1,23.489,8.641,3.4530000000000003,275.6,12.3,23.9,Fruits_Vegetables,5.0,9.5,88.5,96.5,6.5
Cucumber,Vegetable,10.3,91.0,Spring,Spoiled,302.6,29.163,8.641,3.4530000000000003,275.6,19.7,57.6,Fruits_Vegetables,5.0,9.5,88.5,96.5,6.5
Tomato,Vegetable,14.4,81.8,Winter,Spoiled,628.7,16.027,8.641,3.4530000000000003,275.6,3.7,79.8,Fruits_Vegetables,5.0,9.5,88.5,96.5,6.5
Apple,Pome Fruit,8.1,98.6,Spring,Warning,1528.4,10.286,0.0,0.0,0.0,16.3,24.0,Fruits_Vegetables,2.0,6.0,80.0,90.0,7.0
Orange,Citrus,10.3,82.9,Monsoon,Warning,3161.3,27.669,0.0,0.0,0.0,2.1,17.1,Fruits_Vegetables,2.0,6.0,80.0,90.0,7.0
Onion,Root Veg,11.7,61.7,Spring,Fresh,4210.8,0.938,0.0,0.0,0.0,14.8,34.2,Fruits_Vegetables,4.0,10.0,80.0,90.0,30.0
Papaya,Tropical Fruit,13.5,82.2,Winter,Fresh,4700.4,13.886,0.0,0.0,0.0,10.4,2.4,Fruits_Vegetables,12.0,15.0,85.0,94.25,6.75
Onion,Root Veg,6.7,72.5,Winter,Warning,2620.9,7.035,0.0,0.0,0.0,8.9,86.9,Fruits_Vegetables,4.0,10.0,80.0,90.0,30.0
Grapes,Berry,7.0,85.7,Summer,Spoiled,1101.2,15.015,0.0,0.0,0.0,5.7,64.7,Fruits_Vegetables,2.0,6.0,80.0,90.0,7.0
Strawberry,Berry,0.1,95.5,Summer,Warning,2758.5,6.847,0.0,0.0,0.0,16.9,65.2,Fruits_Vegetables,2.0,6.0,80.0,90.0,7.0
Onion,Root Veg,8.7,80.1,Winter,Warning,543.8,28.293,0.0,0.0,0.0,19.8,95.5,Fruits_Vegetables,4.0,10.0,80.0,90.0,30.0
Potato,Root Veg,10.5,84.5,Spring,Fresh,2274.3,8.345,0.0,0.0,0.0,10.5,19.1,Fruits_Vegetables,4.0,10.0,80.0,90.0,30.0
Bell Pepper,Vegetable,13.6,107.5,Summer,Spoiled,1847.4,5.914,8.641,3.4530000000000003,275.6,3.2,3.2,Fruits_Vegetables,5.0,9.5,88.5,96.5,6.5
Mango,Tropical Fruit,12.7,105.4,Winter,Warning,2742.5,24.651,0.0,0.0,0.0,6.5,57.8,Fruits_Vegetables,12.0,15.0,85.0,95.0,10.0
Banana,Tropical Fruit,19.1,93.6,Spring,Spoiled,3558.8,26.704,0.0,0.0,0.0,16.9,77.1,Fruits_Vegetables,12.0,15.0,85.0,94.25,6.75
Bell Pepper,Vegetable,6.9,96.8,Spring,Warning,3201.3,12.056,8.641,3.4530000000000003,275.6,9.8,75.7,Fruits_Vegetables,5.0,9.5,88.5,96.5,6.5
Leafy Greens,Vegetable,8.3,94.2,Spring,Spoiled,3979.8,28.128,8.641,3.4530000000000003,275.6,10.6,18.9,Fruits_Vegetables,5.0,9.5,88.5,96.5,6.5
Bell Pepper,Vegetable,11.8,96.7,Summer,Fresh,2278.7,7.696,8.641,3.4530000000000003,275.6,15.8,23.7,Fruits_Vegetables,5.0,9.5,88.5,96.5,6.5
Mango,Tropical Fruit,15.8,90.5,Monsoon,Spoiled,2843.4,17.514,0.0,0.0,0.0,4.8,58.1,Fruits_Vegetables,12.0,15.0,85.0,94.25,6.75
Mango,Tropical Fruit,16.4,82.0,Monsoon,Warning,4889.6,10.321,0.0,0.0,0.0,14.2,7.0,Fruits_Vegetables,12.0,15.0,85.0,94.25,6.75
Leafy Greens,Vegetable,7.7,93.8,Spring,Warning,1844.5,8.996,8.641,3.4530000000000003,275.6,4.0,87.5,Fruits_Vegetables,5.0,9.5,88.5,96.5,6.5
Mango,Tropical Fruit,14.9,95.8,Monsoon,Warning,1858.1,28.578,0.0,0.0,0.0,16.1,18.1,Fruits_Vegetables,12.0,15.0,85.0,94.25,6.75
Orange,Citrus,10.6,86.7,Summer,Warning,4589.7,18.944,0.0,0.0,0.0,8.8,19.5,Fruits_Vegetables,2.0,6.0,80.0,90.0,7.0
Grapes,Berry,3.8,84.6,Winter,Fresh,1530.4,5.291,0.0,0.0,0.0,3.9,13.6,Fruits_Vegetables,2.0,6.0,80.0,90.0,7.0
Banana,Tropical Fruit,13.9,99.6,Winter,Warning,4892.4,28.235,0.0,0.0,0.0,21.0,84.4,Fruits_Vegetables,12.0,15.0,85.0,94.25,6.75
Strawberry,Berry,2.6,96.9,Monsoon,Warning,1449.4,29.31,0.0,0.0,0.0,2.9,18.6,Fruits_Vegetables,2.0,6.0,80.0,90.0,7.0
Watermelon,Melon,15.0,79.6,Monsoon,Spoiled,3045.2,15.253,0.0,0.0,0.0,11.3,75.4,Fruits_Vegetables,2.0,6.0,80.0,90.0,7.0
Bell Pepper,Vegetable,15.6,94.2,Summer,Spoiled,2482.1,14.963,8.641,3.4530000000000003,275.6,8.1,66.8,Fruits_Vegetables,5.0,9.5,88.5,96.5,6.5
Leafy Greens,Vegetable,5.8,103.0,Spring,Fresh,4506.0,6.224,8.641,3.4530000000000003,275.6,10.6,21.4,Fruits_Vegetables,5.0,9.5,88.5,96.5,6.5
Tomato,Vegetable,10.9,89.9,Monsoon,Warning,1381.8,15.569,8.641,3.4530000000000003,275.6,2.8,32.6,Fruits_Vegetables,5.0,9.5,88.5,96.5,6.5
Tomato,Vegetable,15.2,83.3,Spring,Warning,3333.2,7.021,8.641,3.4530000000000003,275.6,8.8,81.0,Fruits_Vegetables,5.0,9.5,88.5,96.5,6.5
Potato,Root Veg,9.5,71.7,Summer,Warning,1224.2,6.017,0.0,0.0,0.0,8.3,78.4,Fruits_Vegetables,4.0,10.0,80.0,90.0,30.0
Apple,Pome Fruit,2.5,102.2,Monsoon,Warning,1527.3,16.298,0.0,0.0,0.0,16.6,33.6,Fruits_Vegetables,2.0,6.0,80.0,90.0,7.0
Tomato,Vegetable,21.6,106.2,Summer,Spoiled,3699.7,6.835,8.641,3.4530000000000003,275.6,6.0,56.6,Fruits_Vegetables,10.0,15.0,85.0,95.0,10.0
Leafy Greens,Vegetable,4.4,102.4,Spring,Warning,1285.0,20.941,8.641,3.4530000000000003,275.6,10.5,36.3,Fruits_Vegetables,5.0,9.5,88.5,96.5,6.5
Strawberry,Berry,3.3,92.7,Winter,Warning,3523.1,12.58,0.0,0.0,0.0,9.7,51.8,Fruits_Vegetables,2.0,6.0,80.0,90.0,7.0
Mango,Tropical Fruit,18.7,94.0,Summer,Spoiled,3156.8,18.094,0.0,0.0,0.0,18.5,20.0,Fruits_Vegetables,10.0,15.0,85.0,95.0,7.0
Cucumber,Vegetable,11.2,100.7,Spring,Warning,1105.7,9.146,8.641,3.4530000000000003,275.6,14.8,79.4,Fruits_Vegetables,5.0,9.5,88.5,96.5,6.5
Mango,Tropical Fruit,16.7,83.7,Monsoon,Spoiled,628.9,19.791,0.0,0.0,0.0,3.1,16.9,Fruits_Vegetables,12.0,15.0,85.0,94.25,6.75
Tomato,Vegetable,14.9,97.8,Spring,Fresh,4546.9,11.676,8.641,3.4530000000000003,275.6,5.9,30.1,Fruits_Vegetables,5.0,9.5,88.5,96.5,6.5
Potato,Root Veg,13.2,88.4,Spring,Spoiled,1594.6,20.548,0.0,0.0,0.0,2.1,6.6,Fruits_Vegetables,4.0,10.0,80.0,90.0,30.0
Watermelon,Melon,15.0,89.0,Monsoon,Fresh,728.2,1.182,0.0,0.0,0.0,14.3,33.6,Fruits_Vegetables,2.0,6.0,80.0,90.0,7.0
Watermelon,Melon,16.3,82.1,Winter,Warning,3746.2,27.0,0.0,0.0,0.0,10.7,18.0,Fruits_Vegetables,2.0,6.0,80.0,90.0,7.0
Tomato,Vegetable,14.9,97.3,Summer,Warning,613.7,20.003,8.641,3.4530000000000003,275.6,15.8,87.3,Fruits_Vegetables,10.0,15.0,85.0,95.0,10.0
Watermelon,Melon,10.4,87.0,Summer,Fresh,1488.0,13.534,0.0,0.0,0.0,11.6,7.5,Fruits_Vegetables,2.0,6.0,80.0,90.0,7.0
Onion,Root Veg,7.9,53.9,Spring,Fresh,3632.8,7.526,0.0,0.0,0.0,4.6,44.8,Fruits_Vegetables,4.0,10.0,80.0,90.0,30.0
Banana,Tropical Fruit,15.0,104.2,Monsoon,Warning,384.9,5.126,0.0,0.0,0.0,3.9,51.6,Fruits_Vegetables,13.0,15.0,85.0,92.0,5.0
Banana,Tropical Fruit,16.7,94.6,Summer,Spoiled,2801.8,26.782,0.0,0.0,0.0,10.4,61.1,Fruits_Vegetables,13.0,15.0,85.0,95.0,5.0
Potato,Root Veg,11.3,77.2,Summer,Fresh,1248.2,11.328,0.0,0.0,0.0,6.7,19.6,Fruits_Vegetables,4.0,10.0,80.0,90.0,30.0
Mango,Tropical Fruit,19.5,99.6,Summer,Warning,4226.3,2.907,0.0,0.0,0.0,14.6,4.7,Fruits_Vegetables,10.0,15.0,85.0,95.0,7.0
Papaya,Tropical Fruit,11.7,90.6,Winter,Warning,867.8,28.168,0.0,0.0,0.0,6.1,17.1,Fruits_Vegetables,12.0,15.0,85.0,94.25,6.75
Orange,Citrus,6.9,85.3,Summer,Warning,506.5,18.721,0.0,0.0,0.0,18.8,73.8,Fruits_Vegetables,2.0,6.0,80.0,90.0,7.0
Banana,Tropical Fruit,18.5,102.2,Monsoon,Spoiled,4870.1,20.34,0.0,0.0,0.0,15.2,61.2,Fruits_Vegetables,13.0,15.0,85.0,92.0,5.0
Orange,Citrus,9.6,87.5,Spring,Warning,1392.4,19.221,0.0,0.0,0.0,13.2,22.7,Fruits_Vegetables,2.0,6.0,80.0,90.0,7.0
Banana,Tropical Fruit,17.4,82.7,Winter,Fresh,1694.1,11.242,0.0,0.0,0.0,4.9,4.1,Fruits_Vegetables,12.0,15.0,85.0,94.25,6.75
Bell Pepper,Vegetable,11.3,97.8,Spring,Fresh,4021.4,1.198,8.641,3.4530000000000003,275.6,9.9,72.2,Fruits_Vegetables,5.0,9.5,88.5,96.5,6.5
Onion,Root Veg,7.3,80.2,Winter,Fresh,3530.5,7.458,0.0,0.0,0.0,15.7,36.9,Fruits_Vegetables,4.0,10.0,80.0,90.0,30.0
Leafy Greens,Vegetable,3.1,99.0,Summer,Fresh,1259.8,4.255,8.641,3.4530000000000003,275.6,3.7,79.9,Fruits_Vegetables,0.0,4.0,92.0,98.0,3.0
Grapes,Berry,3.4,89.2,Summer,Warning,1470.2,5.301,0.0,0.0,0.0,7.4,61.2,Fruits_Vegetables,2.0,6.0,80.0,90.0,7.0
Watermelon,Melon,16.3,88.7,Spring,Warning,3164.2,12.687,0.0,0.0,0.0,10.2,91.6,Fruits_Vegetables,2.0,6.0,80.0,90.0,7.0
Watermelon,Melon,18.6,94.5,Spring,Fresh,3715.2,4.592,0.0,0.0,0.0,6.9,43.8,Fruits_Vegetables,2.0,6.0,80.0,90.0,7.0
Bell Pepper,Vegetable,12.7,99.9,Spring,Warning,4349.8,0.135,8.641,3.4530000000000003,275.6,15.9,39.1,Fruits_Vegetables,5.0,9.5,88.5,96.5,6.5
Tomato,Vegetable,14.8,91.1,Winter,Fresh,4631.5,1.174,8.641,3.4530000000000003,275.6,9.3,19.0,Fruits_Vegetables,5.0,9.5,88.5,96.5,6.5
Apple,Pome Fruit,5.1,83.3,Winter,Warning,2293.0,11.566,0.0,0.0,0.0,6.7,88.5,Fruits_Vegetables,2.0,6.0,80.0,90.0,7.0
Onion,Root Veg,8.4,82.7,Summer,Fresh,1462.8,4.43,0.0,0.0,0.0,13.0,15.9,Fruits_Vegetables,4.0,10.0,80.0,90.0,30.0
Banana,Tropical Fruit,20.2,98.6,Spring,Spoiled,1079.4,26.281,0.0,0.0,0.0,10.1,48.3,Fruits_Vegetables,12.0,15.0,85.0,94.25,6.75
Tomato,Vegetable,15.6,84.5,Winter,Spoiled,3950.4,19.089,8.641,3.4530000000000003,275.6,8.5,72.0,Fruits_Vegetables,5.0,9.5,88.5,96.5,6.5
Tomato,Vegetable,18.2,76.8,Winter,Warning,2767.3,20.893,8.641,3.4530000000000003,275.6,14.4,16.8,Fruits_Vegetables,5.0,9.5,88.5,96.5,6.5
Tomato Sauce,Preserve,21.1,63.9,Monsoon,Fresh,952.7,0.0,0.0,0.0,0.0,0.0,39.0,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Chocolate Cake,Pastry,18.3,63.0,Summer,Fresh,1289.6,0.0,0.0,0.0,0.0,0.0,32.6,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Cooked Rice,Ready Meal,17.3,67.0,Summer,Spoiled,418.9,0.0,0.0,0.0,0.0,0.0,36.8,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Sandwich,Ready Meal,11.1,88.2,Spring,Spoiled,2846.6,0.0,0.0,0.0,0.0,0.0,3.7,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Whole Wheat Bread,Bread,27.3,79.4,Summer,Warning,466.8,0.0,0.0,0.0,0.0,0.0,45.7,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Sandwich,Ready Meal,12.8,79.3,Spring,Spoiled,408.1,0.0,0.0,0.0,0.0,0.0,16.1,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Tomato Sauce,Preserve,18.8,70.9,Winter,Fresh,611.6,0.0,0.0,0.0,0.0,0.0,44.7,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Whole Wheat Bread,Bread,26.2,78.5,Spring,Spoiled,2440.6,0.0,0.0,0.0,0.0,0.0,24.4,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Cookies,Snack,31.5,53.3,Spring,Warning,1032.7,0.0,0.0,0.0,0.0,0.0,33.9,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
White Bread,Bread,30.9,55.9,Monsoon,Spoiled,1638.4,0.0,0.0,0.0,0.0,0.0,7.4,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Chocolate Cake,Pastry,18.5,81.8,Summer,Warning,568.1,0.0,0.0,0.0,0.0,0.0,35.9,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Fruit Jam,Preserve,12.5,46.1,Spring,Fresh,2325.5,0.0,0.0,0.0,0.0,0.0,6.5,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Pasta Salad,Ready Meal,7.9,95.2,Summer,Spoiled,1231.1,0.0,0.0,0.0,0.0,0.0,38.4,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Potato Chips,Snack,24.4,35.0,Monsoon,Fresh,2851.5,0.0,0.0,0.0,0.0,0.0,22.4,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Tomato Sauce,Preserve,19.8,67.9,Summer,Warning,2603.9,0.0,0.0,0.0,0.0,0.0,11.1,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
White Bread,Bread,22.7,75.4,Winter,Fresh,2221.1,0.0,0.0,0.0,0.0,0.0,9.4,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Cooked Rice,Ready Meal,7.2,87.9,Monsoon,Warning,2370.1,0.0,0.0,0.0,0.0,0.0,14.3,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Tomato Sauce,Preserve,17.5,79.5,Spring,Spoiled,2609.5,0.0,0.0,0.0,0.0,0.0,8.7,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Chocolate Cake,Pastry,19.9,70.9,Winter,Warning,1341.8,0.0,0.0,0.0,0.0,0.0,37.9,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Pasta Salad,Ready Meal,11.9,61.1,Monsoon,Spoiled,2948.7,0.0,0.0,0.0,0.0,0.0,46.6,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Cheese Pizza,Ready Meal,8.3,88.7,Summer,Spoiled,2097.3,0.0,0.0,0.0,0.0,0.0,38.4,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Fruit Jam,Preserve,21.9,45.3,Spring,Fresh,717.3,0.0,0.0,0.0,0.0,0.0,11.6,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Chocolate Cake,Pastry,23.6,66.4,Winter,Fresh,2076.0,0.0,0.0,0.0,0.0,0.0,5.7,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Croissant,Pastry,18.7,73.5,Spring,Warning,1670.3,0.0,0.0,0.0,0.0,0.0,34.5,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Cheese Pizza,Ready Meal,14.9,68.7,Summer,Spoiled,1217.2,0.0,0.0,0.0,0.0,0.0,31.7,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
White Bread,Bread,23.2,63.4,Summer,Fresh,2857.6,0.0,0.0,0.0,0.0,0.0,45.5,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Fruit Jam,Preserve,23.6,78.1,Spring,Spoiled,1315.5,0.0,0.0,0.0,0.0,0.0,5.7,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
White Bread,Bread,25.7,72.2,Monsoon,Spoiled,961.7,0.0,0.0,0.0,0.0,0.0,30.2,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Cooked Rice,Ready Meal,9.4,59.9,Spring,Warning,1505.9,0.0,0.0,0.0,0.0,0.0,4.3,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Tomato Sauce,Preserve,21.2,79.1,Monsoon,Warning,1491.2,0.0,0.0,0.0,0.0,0.0,21.4,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Cheese Pizza,Ready Meal,2.3,64.2,Summer,Fresh,2064.5,0.0,0.0,0.0,0.0,0.0,13.8,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Cooked Rice,Ready Meal,15.8,60.4,Summer,Spoiled,2806.7,0.0,0.0,0.0,0.0,0.0,15.4,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Whole Wheat Bread,Bread,20.6,52.3,Winter,Fresh,524.7,0.0,0.0,0.0,0.0,0.0,9.5,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Cookies,Snack,21.5,60.8,Spring,Fresh,2109.7,0.0,0.0,0.0,0.0,0.0,13.6,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Sandwich,Ready Meal,11.9,84.5,Monsoon,Spoiled,2476.0,0.0,0.0,0.0,0.0,0.0,21.1,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Cooked Rice,Ready Meal,6.8,55.4,Summer,Warning,2297.9,0.0,0.0,0.0,0.0,0.0,3.7,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Chocolate Cake,Pastry,30.8,66.3,Summer,Spoiled,2181.3,0.0,0.0,0.0,0.0,0.0,6.9,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Tomato Sauce,Preserve,21.9,79.8,Summer,Spoiled,2119.1,0.0,0.0,0.0,0.0,0.0,45.4,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Potato Chips,Snack,30.6,38.3,Spring,Warning,595.3,0.0,0.0,0.0,0.0,0.0,45.8,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Croissant,Pastry,20.0,77.4,Winter,Warning,2630.3,0.0,0.0,0.0,0.0,0.0,13.4,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Potato Chips,Snack,34.3,54.6,Spring,Spoiled,2722.9,0.0,0.0,0.0,0.0,0.0,40.9,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Potato Chips,Snack,18.0,47.8,Spring,Fresh,1445.4,0.0,0.0,0.0,0.0,0.0,10.3,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Pasta Salad,Ready Meal,10.8,73.0,Summer,Spoiled,1373.2,0.0,0.0,0.0,0.0,0.0,26.2,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Fruit Jam,Preserve,17.6,65.1,Spring,Warning,2244.0,0.0,0.0,0.0,0.0,0.0,7.3,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
White Bread,Bread,20.5,60.6,Monsoon,Fresh,1494.8,0.0,0.0,0.0,0.0,0.0,34.6,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Cookies,Snack,15.2,36.4,Spring,Fresh,1700.0,0.0,0.0,0.0,0.0,0.0,32.9,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Tomato Sauce,Preserve,19.2,59.8,Summer,Fresh,2005.8,0.0,0.0,0.0,0.0,0.0,14.2,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Tomato Sauce,Preserve,22.6,82.2,Monsoon,Fresh,2223.0,0.0,0.0,0.0,0.0,0.0,47.6,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Croissant,Pastry,14.4,81.1,Monsoon,Warning,1508.4,0.0,0.0,0.0,0.0,0.0,3.4,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Tomato Sauce,Preserve,18.6,73.9,Monsoon,Warning,1191.2,0.0,0.0,0.0,0.0,0.0,17.5,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
White Bread,Bread,20.7,57.6,Monsoon,Warning,1128.4,0.0,0.0,0.0,0.0,0.0,12.9,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Cooked Rice,Ready Meal,13.6,66.9,Summer,Spoiled,1337.5,0.0,0.0,0.0,0.0,0.0,28.7,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Fruit Jam,Preserve,17.4,60.5,Winter,Fresh,1964.8,0.0,0.0,0.0,0.0,0.0,42.5,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Tomato Sauce,Preserve,14.6,72.7,Spring,Warning,2973.1,0.0,0.0,0.0,0.0,0.0,3.1,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Tomato Sauce,Preserve,28.7,74.6,Winter,Warning,2768.2,0.0,0.0,0.0,0.0,0.0,44.8,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Croissant,Pastry,21.7,58.1,Winter,Fresh,2928.4,0.0,0.0,0.0,0.0,0.0,24.3,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Whole Wheat Bread,Bread,25.0,65.2,Monsoon,Fresh,1105.9,0.0,0.0,0.0,0.0,0.0,11.2,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Chocolate Cake,Pastry,21.0,57.8,Winter,Fresh,982.2,0.0,0.0,0.0,0.0,0.0,31.1,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Croissant,Pastry,19.2,69.1,Winter,Fresh,403.6,0.0,0.0,0.0,0.0,0.0,18.3,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Cookies,Snack,20.4,62.0,Winter,Warning,2027.5,0.0,0.0,0.0,0.0,0.0,35.3,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
White Bread,Bread,25.8,76.2,Summer,Warning,2049.2,0.0,0.0,0.0,0.0,0.0,11.4,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Fruit Jam,Preserve,22.0,54.5,Spring,Warning,1645.4,0.0,0.0,0.0,0.0,0.0,39.3,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Chocolate Cake,Pastry,18.6,82.1,Monsoon,Fresh,2187.2,0.0,0.0,0.0,0.0,0.0,21.0,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Pasta Salad,Ready Meal,13.3,84.8,Summer,Spoiled,1382.5,0.0,0.0,0.0,0.0,0.0,36.9,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Croissant,Pastry,25.8,73.6,Monsoon,Spoiled,424.4,0.0,0.0,0.0,0.0,0.0,39.5,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Cheese Pizza,Ready Meal,14.9,73.1,Monsoon,Spoiled,1645.2,0.0,0.0,0.0,0.0,0.0,13.6,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
White Bread,Bread,23.1,59.1,Summer,Warning,2771.6,0.0,0.0,0.0,0.0,0.0,7.9,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Fruit Jam,Preserve,29.5,48.7,Spring,Warning,686.4,0.0,0.0,0.0,0.0,0.0,17.8,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Sandwich,Ready Meal,6.1,77.9,Summer,Fresh,2166.5,0.0,0.0,0.0,0.0,0.0,15.2,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Whole Wheat Bread,Bread,26.0,73.6,Winter,Warning,598.6,0.0,0.0,0.0,0.0,0.0,8.0,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Croissant,Pastry,25.9,53.5,Spring,Warning,1902.4,0.0,0.0,0.0,0.0,0.0,5.3,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Pasta Salad,Ready Meal,6.2,87.2,Winter,Warning,2055.2,0.0,0.0,0.0,0.0,0.0,44.3,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Chocolate Cake,Pastry,19.1,71.4,Spring,Fresh,1770.1,0.0,0.0,0.0,0.0,0.0,11.3,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
White Bread,Bread,22.1,51.2,Monsoon,Fresh,2769.5,0.0,0.0,0.0,0.0,0.0,37.6,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Croissant,Pastry,16.7,57.5,Spring,Fresh,2209.0,0.0,0.0,0.0,0.0,0.0,33.7,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Tomato Sauce,Preserve,23.4,63.0,Summer,Fresh,781.9,0.0,0.0,0.0,0.0,0.0,1.6,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Croissant,Pastry,26.9,61.8,Monsoon,Warning,1470.0,0.0,0.0,0.0,0.0,0.0,33.7,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
White Bread,Bread,27.6,68.8,Summer,Spoiled,2167.7,0.0,0.0,0.0,0.0,0.0,40.0,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Cooked Rice,Ready Meal,8.7,63.2,Monsoon,Warning,2872.8,0.0,0.0,0.0,0.0,0.0,3.6,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Cookies,Snack,22.1,63.1,Summer,Warning,828.5,0.0,0.0,0.0,0.0,0.0,10.2,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Sandwich,Ready Meal,2.5,63.6,Winter,Fresh,428.5,0.0,0.0,0.0,0.0,0.0,10.5,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
Cooked Rice,Ready Meal,11.3,65.0,Summer,Warning,1217.9,0.0,0.0,0.0,0.0,0.0,17.8,Bakery_Processed,2.0,6.0,80.0,90.0,7.0
